Player,FLEX FPTS,CPT FPTS,Flex Own
Jaxon Smith-Njigba,29.2,43.8,59.05%
Rhamondre Stevenson,14.5,21.75,51.31%
Seahawks,13.0,19.5,15.57%
Drake Maye,12.82,19.23,63.37%
Mack Hollins,9.1,13.65,3.96%
Jadarian Price,7.8,11.7,32.76%
Eli Raridon,7.2,10.8,2.34%
Jason Myers,7.0,10.5,27.54%
DeMario Douglas,7.0,10.5,15.03%
Patriots,6.0,9.0,10.98%
Andy Borregales,6.0,9.0,10.08%
Hunter Henry,5.6,8.4,26.64%
A.J. Brown,5.6,8.4,37.89%
Cooper Kupp,5.5,8.25,10.53%
Brady Russell,4.0,6.0,0.09%
AJ Barner,3.3,4.95,16.65%
Lan Larison,2.9,4.35,0.63%
George Holani,2.9,4.35,22.59%
Rashid Shaheed,1.4,2.1,14.67%
Corey Kiner,1.1,1.65,2.52%
Sam Darnold,0.52,0.78,41.22%
Emanuel Wilson,0.3,0.45,0.18%
Velus Jones Jr.,0.0,0.0,0.09%
TreVeyon Henderson,0.0,0.0,0.09%
Romeo Doubs,0.0,0.0,22.41%
Reggie Gilliam,0.0,0.0,0.27%
Montorie Foster Jr.,0.0,0.0,1.44%
Kyle Williams,0.0,0.0,1.53%
Kayshon Boutte,0.0,0.0,0.09%
Jacardia Wright,0.0,0.0,0.09%
Eric Saubert,0.0,0.0,0.27%
Elijah Arroyo,0.0,0.0,7.56%
Cameron Latu,0.0,0.0,0.09%
Behren Morton,0.0,0.0,0.09%
